date,lecture,assignment_released,assignment_due,instructor,slideurl,videourl,notesurl,assignmenturl,genericlink
Jan 13,Introduction,Assignment 0 released,,,https://drive.google.com/file/d/1h-GgYgwNQrR3k5wOE60rDvkp0wWEIoYo/view?usp=share_link,https://drive.google.com/file/d/1kgRPHSpP9qhRpPDVQucCmv-cqtYlbhpU/view?usp=share_link,,https://github.com/mr-cmu/assignment0-handout,
Jan 15,Mathematical Preliminaries,,,,https://drive.google.com/file/d/1IkP0Y2Xeh2FtozJxq_aLZP_cyT6ksTwP/view?usp=share_link,https://drive.google.com/file/d/1oywMKT2gRbAFuIx3NmipaTG0FNWa6uHz/view?usp=share_link,,,
Jan 20,Quadrotor Modeling,,,,https://drive.google.com/file/d/15wSExNo6UP8T_cxaN2qxRgbPjk4Cn4wT/view?usp=share_link,https://drive.google.com/file/d/12qTWCnZMyd_iHg20ZcVsFe0taBfxyX1r/view?usp=sharing,,,
Jan 22,Quadrotor Control 1,Assignment 1 released,Assignment 0 due,,https://drive.google.com/file/d/1lYbyzsL5pHIqkLZU-uvgBfX1Bk-9G4Y9/view?usp=sharing,https://drive.google.com/file/d/1c265mEKc_I3FsHc5Mw4lhGwgKPaHdjol/view?usp=sharing,,https://github.com/mr-cmu/assignment1-handout,
Jan 27,Quadrotor Control 2,,,,,,,,
Jan 29,Quadrotor Control 3,,,,,,,,
Feb 3,Introduction to Mapping & Localization,,,,,,,,
Feb 5,Bayes Filter,,,,,,,,
Feb 10,Occupancy Grid Maps,,,,,,,,
Feb 12,Localization using Bayes Filtering,Assignment 2 released,Assignment 1 due,,,,,,
Feb 17,"Particle Filter, EKF-SLAM",,,,,,,,
Feb 19,3D Mapping,,,,,,,,
Feb 24,Quadrotor Planning I,,,,,,,,
Feb 26,Quadrotor Planning II,,,,,,,,
Mar 3,Spring Break | No Class,,,,,,,,
Mar 5,Spring Break | No Class,Assignment 3 released,Assignment 2 due,,,,,,
Mar 10,Quadrotor Planning II and Planning Representations,,Project proposal due,,,,,,
Mar 12,Planning in Known Workspaces,,,,,,,,
Mar 17,Planning in Unknown Workspaces I,,,,,,,,
Mar 19,Planning in Unknown Workspaces II,,,,,,,,
Mar 24,Introduction to Robotic Exploration,,,,,,,,
Mar 26,Frontier-based Exploration,Assignment 4 released,Assignment 3 due,,,,,,
Mar 31,Information-Theoretic Exploration & Local vs. Global Mapping,,,,,,,,
Apr 2,Multi-Robot Exploration,,,,,,,,
Apr 7,Swarm Robots,,,,,,,,
Apr 9,Spring Carnival | No Class,,Assignment 4 due,,,,,,
Apr 14,Wrap-Up,,,,,,,,
Apr 16,Project Presentations,,,,,,,,
Apr 21,Project Presentations,,,,,,,,
Apr 23,Project Presentations | Last Day of Class,,,,,,,,
Apr 24,No Class,,Project Materials Due,,,,,,
